nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
Fiesta Cheese 123 500gr (Naget Ayam bentuk angka rasa Keju),49500,Orient Food,Surabaya,100,5.0,Fiesta
Cakwe Udang Ayam Mayo Frozen Enak Isi 10pcs,29900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,40,5.0,Fiesta
Nugget FIESTA Dino 500 gr,50300,ainunfrozenfood,Jakarta Utara,24,5.0,Fiesta
Crispy Bubble Nugget Fiesta 500gr Naget Ayam Krispi,48900,Citra Rasane Food,Jakarta Barat,80,4.9,Fiesta
Golden Stikie Fiesta 500gram Nugget Ayam Stik Dengan Bumbu,53500,HokTung Mart,Jakarta Utara,500,4.9,Fiesta
FIESTA CRISPY BUBBLE NUGGET 500GR,39900,LOTTE Mart Indonesia,Jakarta Selatan,60,5.0,Fiesta
Nugget Fiesta 250gr,25000,TOKO YENTI,Bekasi,250,5.0,Fiesta
Fiesta Golden Nugget 500gram / 500 gr,52500,Naturallyoufm,Jakarta Utara,500,5.0,Fiesta
Fiesta Seafood Crispy Shrimp Nugget 450 gr,45012,CP Prima Seafood,Jakarta Pusat,50,4.9,Fiesta
Fiesta Chicken Nugget 250gr,31400,Brother Meat Shop,Depok,100,5.0,Fiesta
Fiesta Stikie / Naget Ayam Bentuk Stik Fiesta 500 gram,47000,Rahmatika Freshmart,Tangerang Selatan,250,4.9,Fiesta
FIESTA SPICY NUGGET 500GR/PAC,46500,FIESTA NUGGET,Jakarta Utara,50,4.9,Fiesta
FIESTA CHICKEN STIKIE 500 GR - NUGGET,68650,Hypermart Daan Mogot,Jakarta Barat,100,5.0,Fiesta
CHEESY CHICKEN WITH BROCCOLI FIESTA 500GR HALAL NAGET AYAM ISI KEJU BR,69150,LatteBless,Jakarta Selatan,50,5.0,Fiesta
Dimsum MAME TERLARIS Frozen Halal Bpom All Varian - 360Gr - Pedas,17812,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,30,5.0,Fiesta
Cheesy Lover Fiesta 500gr Nugget Keju,70600,Citra Rasane Food,Jakarta Barat,100,5.0,Fiesta
Risol / Risoles Jumbo Beef Mayo isi 6,29900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,16,5.0,Fiesta
CornDog / Corn Dog Mozarella Mini Melted - isi 6pcs,24900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,60,5.0,Fiesta
Fiesta Chicken Nugget Stickie Naget Ayam Bentuk Stik 500 gram,51000,lita frozen food,Jakarta Utara,100,5.0,Fiesta
Fiesta Chicken Nugget / Nugget Ayam Fiesta,74800,Bakoel Sayur Online,Jakarta Barat,250,5.0,Fiesta
fiesta nugget dino 500gr,49900,Emeryl,Jakarta Barat,14,5.0,Fiesta
FIESTA CRISPY BUBBLE Naget Ayam Krispi 500 gram,41000,Alanza Frozen Food,Tangerang Selatan,70,5.0,Fiesta
