rating,review
5,recommended
5,recommended
3,"barangnya si ok, tp kecewa dengan waktu pengiriman. di sistem wqktu mesan tertera estimasi pengiriman tgl 30 juli, tp kenyataan br dikirim tgl 1 agustus. jika ga buka tok... "
5,rasanya mantap semua kelga suka
5,"Expired lama, barang aman, selalu puas!"
5,mantap...tks
5,alhamdulillah...
5,alhamdulillah...
5,alhamdulillah...
5,alhamdulillah...
5,baru mau coba ini kata org2 enak..tapi klo kanzler sih hrsnya mantap ya. thank you kanzler
5,chicken nugget favorite..super kriuk lah ini apalagi klo masak pakai air fryer. mantap bgt. thank you kanzler
5,biar bintang yg berbicara
5,biar bintang yg berbicara
5,biar bintang yg berbicara
5,lezatooo
5,"ini nugget enak banget sihh, favorit"
5,enak
5,enak
5,sudah diterima dengan baik ya
5,"seller fast response, packing ok, pengiriman cepat..good job"
5,"Untuk produk sih tidak diragukan, tapi packaging bisa tolong diperbaiki lagi. Kalau cuma plastik dimana isinya makanan, kurang safe. Tadi kondisi hujan jadi plastiknya su... "
5,"Untuk produk sih tidak diragukan, tapi packaging bisa tolong diperbaiki lagi. Kalau cuma plastik dimana isinya makanan, kurang safe. Tadi kondisi hujan jadi plastiknya su... "
5,Baru tahu jg Ini ada porsi yg kecil nya.
5,Favorite 😍
5,Baru tau sdh ganti kemasan bukan kardus lg☺️
5,Bagsu
5,Prosesnya cepat dan aman. Rasanya juga enak
5,"Rasanya enak, lebih kerasa rempaah2nya"
5,Terimakasih barangnya sdh sampai dan sesuai
5,"Produk sudah diterima dengan baik, pengiriman cepat, packingnya baik, seller rekomend. Terimakasih"
5,"Produk sudah diterima dengan baik, pengiriman cepat, packingnya baik, seller rekomend. Terimakasih"
5,"Produk sudah diterima dengan baik, pengiriman cepat, packingnya baik, seller rekomend. Terimakasih"
5,😊👍
5,pelayanannya cepat
5,Packing aman
5,The best nuggets
5,The most favorite nuggets
5,baru kali ini nyobain. bagi yang suka gurih banget pasti ini kurang berasa. oke kok
5,expired lama kakak
5,pembelian perdana...seller responsif n ramah...harga kompetitif...recommended skali
5,sesuao deskripsi diterima dlm kondisi baik terima kasih
5,sesuao deskripsi diterima dlm kondisi baik terima kasih
5,sesuai deskripsi diterima dlm kondisi baik terima kasih
5,sesuao deskripsi diterima dlm kondisi baik terima kasih
5,udh habis duluan produknya wkwkwk sangkin enaknya tinggal hap2 langsung ludess
5,udh paling enakkk ini tinggal sat set sat perut langsung kenyanggg
5,"thank you seller dan kurirnya jugaa, paket sdh sampai dengan aman.."
5,"sosisnya gede bgt dibanding sosis2 lain, trus potongan kejunya yg bikin tambah enak.."
5,"prosesnya cepet, pengiriman aman, buat rasa jangan ditanya udh pasti enak produk kanzler."
5,
5,
5,"barang di terima masih beku, bagus. terimakasih."
5,Sosis favorit anak
3,rasanya enak..cuma sayang sampe tujuan sudah lembek
5,Uda pd tau klo kanzler itu enak please ks gratis ongkir
5,"Enak, anak anak suka makan nya. Terima kasih"
5,Enakk
2,"Beli 2 bungkus nugget, datangnya cuma diplasitik kresek 2 lapis, ini isi nuggetnya sampe putih doang kremesannya pada jatoh semua, pdhl beli di official store, mengecewak... "
5,"yes, akhirny dapat juga paket promo ini. packing rapi dan aman. pengiriman cepat. trims"
5,"Pengiriman turbo bgt, beli siang malem udh sampe. Thanks seller"
5,"Pengiriman turbo bgt, beli siang malem udh sampe. Thanks seller"
5,barang sudah sampai dan kondisinya sangat baik
5,barang sudah sampai dan kondisinya sangat baik
5,ok
5,"Makan 1 gak pernah cukup, minimal harus 2. Endeeusss"
5,"Sensasi kriuknya bikin tambah suka makan chicken nugget, enak beda dari yg lain2"
5,"Ada makanan apapun di meja makan, klo liat chicken nugget, pasti yg diambil nuggetnya dluan"
5,Solusi paling ampuh saat ditinggal si mba mudik ke kampung. Udah paling bener sedia banyak makanan frozen
5,Pengiriman OK. Packaging kurang Aman. Produk datang sesuai pesanan dan produk dalam keadaan baik. Terima kasih. Exp 2023
5,Pengiriman OK. Packaging kurang Aman. Produk datang sesuai pesanan dan produk dalam keadaan baik. Terima kasih.
