nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
Kanzler Chicken Nugget Original Premium | Naget Ayam Berbumbu (450 gr),41500,Hijrahfood Meatshop,Jakarta Barat,1000,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450 GR,39700,Madina Frost,Kab. Tangerang,3000,5.0,Kanzler
Kanzler Chicken Nugget Crispy 450 gram,41000,Rahmatika Freshmart,Tangerang Selatan,2000,5.0,Kanzler
Crispy Chicken Nugget Stick Kanzler Crispy Nugget Stik 450g,40000,SinarMurni,Jakarta Pusat,100,4.7,Kanzler
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,39999,Lancar FreshMart,Jakarta Utara,100,5.0,Kanzler
kanzler crispy chicken nugget,40900,Aishakira online,Jakarta Timur,5000,5.0,Kanzler
Kanzler nugget crispy stick 450gr,38500,Toko DFF,Jakarta Selatan,100,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450Gr,41500,Frostmart,Jakarta Utara,2000,5.0,Kanzler
kanzler nuget crispy,39500,KING DURIAN84,Depok,3000,5.0,Kanzler
KANZLER Chicken Nugget Original 450gr,37500,Kanzler RS Froz,Jakarta Timur,500,5.0,Kanzler
Kanzler nuget stik crispy 450gr,37900,AZEINN,Jakarta Selatan,250,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450 GR,37890,IstanaFurniture,Bekasi,250,5.0,Kanzler
kanzler nugget premium 450gr,38500,mise frozen foods,Tangerang Selatan,40,4.6,Kanzler
Kanzler Crispy Chicken Nugget 450gr,42900,Brother Meat Shop,Depok,9000,5.0,Kanzler
KANZLER Chicken Nugget 450 gr,38200,Dilla Frozen Food,Bekasi,500,5.0,Kanzler
CRISPY CHICKEN NUGGET KANZLER 450GR NAGET AYAM KRISPI HALAL,38500,LatteBless,Jakarta Selatan,8000,4.9,Kanzler
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy ,41500,lita frozen food,Jakarta Utara,100,5.0,Kanzler
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,37900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler
Kanzler Chicken Nugget Nuget Crispy Krispy Krispi Naget 450g,15833,deposusuofficial,Jakarta Barat,2000,5.0,Kanzler
KANZLER CHICKEN NUGGET PREMIUM ORIGINAL 450GR,39500,Bentang Frozen,Tangerang Selatan,500,5.0,Kanzler
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),39500,Hijrahfood Meatshop Bekasi,Bekasi,1000,5.0,Kanzler
Kanzler Chicken Nugget 450gr | Nugget Ayam,38000,Toko DFF,Jakarta Selatan,500,5.0,Kanzler
"Kanzler Crispy Chicken Nugget Stick 450gr, Halal",43500,Brother Meat Shop,Depok,100,5.0,Kanzler
Kanzler Smoked Beef Ham Slice Round | Daging Sapi Asap (250 gr),37500,Hijrahfood Meatshop,Jakarta Barat,1000,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET STICK 450GR,39000,Frozen Al Fatih,Jakarta Timur,100,5.0,Kanzler
Kanzler Crispy Chiken Nugget 450 gr,42000,Ngehits Frozen,Jakarta Timur,80,5.0,Kanzler
Chicken Nugget Kanzler/Crispy Chicken Nugget Kanzler/Chicken Nugget,26900,Kitaransa Frozen,Jakarta Timur,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget 120 Gram,15900,KedaiMart Official Store,Jakarta Utara,20,5.0,Kanzler
Kanzler Sosis Beef Cocktail 500gr,52300,Naturallyoufm,Jakarta Utara,500,5.0,Kanzler
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,13775,Kuka Kuka Meat Shop,Jakarta Utara,60,5.0,Kanzler
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (500 gr),56900,Hijrahfood Meatshop,Jakarta Barat,2000,5.0,Kanzler
KANZLER CRISPY CKN NUGGET 450 Gr,41400,rajawalisosisbaso,Bandung,100,5.0,Kanzler
sosis ayam kanzler cheese cocktail 500gr/kanzler sosis cheese cocktail,46500,Multi food jakarta,Jakarta Utara,250,5.0,Kanzler
Kanzler sosis beef black pepper frankfurter 300gr / sosis sapi lada,38900,Fresh Multi,Jakarta Utara,100,4.9,Kanzler
Kanzler Chicken Nugget 450 gr,42230,SAJI Frozen&Snack,Jakarta Barat,250,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450GR NAGET AYAM KRISPI,47000,Dmeat shop,Bekasi,50,5.0,Kanzler
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui - Crispy 450g,42900,Multi food jakarta,Jakarta Utara,750,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450gr ,43500,Frozone Market Jakarta Timur,Jakarta Timur,100,5.0,Kanzler
kanzler nugget crispy 450gr,39000,SUNFISHFOODS,Jakarta Utara,250,4.9,Kanzler
kanzler chicken nugget,39500,Aishakira online,Jakarta Timur,10000,5.0,Kanzler
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr,45900,Bliss Kitchen Jaksel,Jakarta Pusat,1000,5.0,Kanzler
Kanzler sosis beef black pepper frankfurter 300gr / sosis sapi lada,38900,Multi food jakarta,Jakarta Utara,500,5.0,Kanzler
Kanzler Cheese Cocktail keju sosis 500gr,37520,Frostmart,Jakarta Utara,500,5.0,Kanzler
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget - Smoked Beef,35625,Kuka Kuka Meat Shop Bekasi,Bekasi,50,5.0,Kanzler
Kanzler crispy chicken nugget 450 gr,39480,Rumah-Sosis,Depok,1000,5.0,Kanzler
Kanzler Crispy Chicken Nugget Premium 450gr - 1 Pack,45552,Kuka Kuka Shop,Jakarta Barat,250,5.0,Kanzler
KANZLER Chicken Cordon Bleu 300gr,47500,Segaru Foods,Tangerang Selatan,250,5.0,Kanzler
Kanzler Chicken Nugget Crispy 500gr,39500,Master Frozz,Kab. Tangerang,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450gr,39000,Kebab Mini Frozen Food,Jakarta Timur,3000,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET STICK 450gr / 450 gr,39500,Wiralel,Tangerang,27,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450 gr,41000,Rahmatika Freshmart,Tangerang Selatan,100,5.0,Kanzler
kanzler naget crispy,37900,kartikafrozen,Jakarta Barat,250,5.0,Kanzler
KANZLER Crispy Chicken Nugget 450gr,40500,Gozzen Frozen Food,Kab. Bogor,250,5.0,Kanzler
KANZLER NUGGET CRISPY CHICKEN,44800,DAPURSEMBILAN,Denpasar,250,5.0,Kanzler
Kanzler Chicken Nugget Original 450gram X 3 Bungkus,116000,Indospirits Retailindo Sunter,Jakarta Utara,20,5.0,Kanzler
KANZLER SINGLES SOSIS / BAKSO,7580,Foodies byarvie,Tangerang Selatan,250,5.0,Kanzler
KANZLER Sosis / Saussage Cheese Frankfurter - 360gram,49922,Kuka Kuka Meat Shop,Jakarta Utara,40,5.0,Kanzler
KANZLER CRISPY CHICKEN STICK NUGGET 450G,53900,LOTTE Mart Indonesia,Jakarta Selatan,29,5.0,Kanzler
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),39500,Hijrahfood Meatshop Jaksel,Jakarta Selatan,250,5.0,Kanzler
Chicken Nugget Kanzler Nugget Crispy,39000,Gadsa Online Shop,Tangerang Selatan,3000,4.9,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450GR,38500,Frozen Al Fatih,Jakarta Timur,1000,5.0,Kanzler
KANZLER CHICKEN NUGGET 450 GR,38300,Zahra Froz,Jakarta Timur,2000,5.0,Kanzler
Kanzler Original Chicken Nugget Premium 450 Gram,39500,KitaKito Foods,Tangerang Selatan,500,5.0,Kanzler
Crispy Chicken Nugget Kanzler Nugget crispy kanzler Frozen food 450g,40000,SinarMurni,Jakarta Pusat,1000,4.9,Kanzler
Kanzler Crispy Chicken Nugget 450gr,15000,Naturallyoufm,Jakarta Utara,1000,5.0,Kanzler
Kanzler Crispy chicken nugget 450 Gr,38000,OryzaFrozenFood,Depok,2000,5.0,Kanzler
kanzler sosis  cheese cocktail 500gr,44000,Ara Frozen,Jakarta Timur,1,5.0,Kanzler
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (250 gr),29800,Hijrahfood Meatshop,Jakarta Barat,2000,5.0,Kanzler
kanzler crispy chicken nugget 450gr,39000,Ara Frozen,Jakarta Timur,30,5.0,Kanzler
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,37900,Bliss Kitchen Tangerang,Tangerang,100,4.9,Kanzler
kanzler cordon bleu 300gr isi 2 pcs,46500,Bright Frozen Food,Jakarta Pusat,250,5.0,Kanzler
kanzler crispy nugget 450gr,39900,King Fresh Mart,Jakarta Barat,250,5.0,Kanzler
kanzler crispy chicken nugget krispi 450gr,39000,tokoflashsalemodernland,Tangerang,750,5.0,Kanzler
kanzler chiken naget crispy bubble 450gr,41500,TOKO YENTI,Bekasi,2000,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 500GR,41500,Toko Sosis Menceng,Jakarta Barat,2000,5.0,Kanzler
Crispy Chicken Nugget Stick Kanzler Nugget Stick 450 Gram,39000,Gadsa Online Shop,Tangerang Selatan,50,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450 Gram / Kazler / Halal,40000,Ohayo Bento New,Jakarta Timur,50,5.0,Kanzler
Kanzler Crispy Chicken Nugget STICK,41900,Aishakira online,Jakarta Timur,100,5.0,Kanzler
Kanzler Crispy Chicken Nugget / Naget Ayam Berbumbu Krispi (450 gr),39500,Hijrahfood Meatshop Depok,Depok,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick Ayam 450 Gram,39500,KitaKito Foods,Tangerang Selatan,100,5.0,Kanzler
Smoked Beef Kanzler 1kg,117490,Toko Kuliner Jakpus,Jakarta Pusat,250,5.0,Kanzler
KANZLER Crispy Chicken Nugget 450 g,39500,Hamina Froz,Bekasi,27,5.0,Kanzler
KANZLER CRISPY CHICKEN STICK NUGGET 450G,53900,LOTTE Mart Bintaro,Tangerang Selatan,30,5.0,Kanzler
CHICKEN NUGGET PREMIUM KANZLER 450GR NAGET AYAM HALAL,38500,LatteBless,Jakarta Selatan,3000,4.9,Kanzler
KANZLER Crispy Chicken Nugget,39480,RIESA Mart,Tangerang Selatan,2000,5.0,Kanzler
KANZLER NUGGET ORIGINAL 450G,44900,LOTTE Mart Official,Jakarta Selatan,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget Ayam 120 Gram,12900,KitaKito Foods,Tangerang Selatan,100,5.0,Kanzler
KANZLER CHICKEN NUGGET ORIGINAL 450GR,39999,Lancar FreshMart,Jakarta Utara,750,5.0,Kanzler
KANZLER CRISPY CHICKEN STICK NUGGET 450g,39700,Madina Frost,Kab. Tangerang,100,5.0,Kanzler
kanzler chicken cordon bleu 300gr,42500,AZEINN,Jakarta Selatan,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450 gram Sayurbox,58500,Sayurbox,Jakarta Selatan,100,4.9,Kanzler
kanzler nugget crispy 450gr,38500,warungmuh151,Jakarta Barat,50,5.0,Kanzler
kanzler crispy chicken nugget,38500,micha_slicebeef,Kab. Bogor,100,5.0,Kanzler
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui,42900,Multi food jakarta,Jakarta Utara,750,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450gr,38500,Toko DFF,Jakarta Selatan,2000,5.0,Kanzler
kanzler chicken nugget ayam 450gr,41500,Bright Frozen Food,Jakarta Pusat,3000,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450gr,39000,Kebab Mini Frozen Food,Jakarta Timur,70,4.9,Kanzler
CRISPY CHICKEN NUGGET KANZLER 450gr NAGET AYAM KRISPI HALAL,38500,NdoroStore,Kab. Bogor,70,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450 Gr,45000,Torang Mart,Kab. Bogor,26,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450gr,38000,Kasyfil Market Jakarta,Jakarta Selatan,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450gr,37400,Foodia Mart,Jakarta Timur,30,5.0,Kanzler
