nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand,product_category
sosis ayam kanzler cheese cocktail 500gr/kanzler sosis cheese cocktail,46500,Multi food jakarta,Jakarta Utara,250,5.0,Kanzler,Sausage
Kanzler sosis beef black pepper frankfurter 300gr / sosis sapi lada,38900,Fresh Multi,Jakarta Utara,100,4.9,Kanzler,Sausage
Kanzler Chicken Nugget 450 gr,42230,SAJI Frozen&Snack,Jakarta Barat,250,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450GR NAGET AYAM KRISPI,47000,Dmeat shop,Bekasi,50,5.0,Kanzler,Nugget
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui - Crispy 450g,42900,Multi food jakarta,Jakarta Utara,750,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick 450gr ,43500,Frozone Market Jakarta Timur,Jakarta Timur,100,5.0,Kanzler,Nugget
kanzler nugget crispy 450gr,39000,SUNFISHFOODS,Jakarta Utara,250,4.9,Kanzler,Nugget
kanzler chicken nugget,39500,Aishakira online,Jakarta Timur,10000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget / Nugget Ayam / Naget Ayam Krispi 450gr,45900,Bliss Kitchen Jaksel,Jakarta Pusat,1000,5.0,Kanzler,Nugget
Kanzler sosis beef black pepper frankfurter 300gr / sosis sapi lada,38900,Multi food jakarta,Jakarta Utara,500,5.0,Kanzler,Sausage
Kanzler Cheese Cocktail keju sosis 500gr,37520,Frostmart,Jakarta Utara,500,5.0,Kanzler,Sausage
Best Seller Kanzler - Premium Sosis Kanzler & Crispy / Chicken Nugget - Smoked Beef,35625,Kuka Kuka Meat Shop Bekasi,Bekasi,50,5.0,Kanzler,Nugget-Sausage
Kanzler crispy chicken nugget 450 gr,39480,Rumah-Sosis,Depok,1000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Premium 450gr - 1 Pack,45552,Kuka Kuka Shop,Jakarta Barat,250,5.0,Kanzler,Nugget
KANZLER Chicken Cordon Bleu 300gr,47500,Segaru Foods,Tangerang Selatan,250,5.0,Kanzler,Other
Kanzler Chicken Nugget Crispy 500gr,39500,Master Frozz,Kab. Tangerang,250,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,39000,Kebab Mini Frozen Food,Jakarta Timur,3000,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET STICK 450gr / 450 gr,39500,Wiralel,Tangerang,27,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick 450 gr,41000,Rahmatika Freshmart,Tangerang Selatan,100,5.0,Kanzler,Nugget
kanzler naget crispy,37900,kartikafrozen,Jakarta Barat,250,5.0,Kanzler,Other
KANZLER Crispy Chicken Nugget 450gr,40500,Gozzen Frozen Food,Kab. Bogor,250,5.0,Kanzler,Nugget
KANZLER NUGGET CRISPY CHICKEN,44800,DAPURSEMBILAN,Denpasar,250,5.0,Kanzler,Nugget
Kanzler Chicken Nugget Original 450gram X 3 Bungkus,116000,Indospirits Retailindo Sunter,Jakarta Utara,20,5.0,Kanzler,Nugget
KANZLER SINGLES SOSIS / BAKSO,7580,Foodies byarvie,Tangerang Selatan,250,5.0,Kanzler,Sausage-Meatball
KANZLER Sosis / Saussage Cheese Frankfurter - 360gram,49922,Kuka Kuka Meat Shop,Jakarta Utara,40,5.0,Kanzler,Sausage
KANZLER CRISPY CHICKEN STICK NUGGET 450G,53900,LOTTE Mart Indonesia,Jakarta Selatan,29,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),39500,Hijrahfood Meatshop Jaksel,Jakarta Selatan,250,5.0,Kanzler,Nugget
Chicken Nugget Kanzler Nugget Crispy,39000,Gadsa Online Shop,Tangerang Selatan,3000,4.9,Kanzler,Nugget
KANZLER CRISPY CHICKEN NUGGET 450GR,38500,Frozen Al Fatih,Jakarta Timur,1000,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET 450 GR,38300,Zahra Froz,Jakarta Timur,2000,5.0,Kanzler,Nugget
Kanzler Original Chicken Nugget Premium 450 Gram,39500,KitaKito Foods,Tangerang Selatan,500,5.0,Kanzler,Nugget
Crispy Chicken Nugget Kanzler Nugget crispy kanzler Frozen food 450g,40000,SinarMurni,Jakarta Pusat,1000,4.9,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,15000,Naturallyoufm,Jakarta Utara,1000,5.0,Kanzler,Nugget
Kanzler Crispy chicken nugget 450 Gr,38000,OryzaFrozenFood,Depok,2000,5.0,Kanzler,Nugget
kanzler sosis  cheese cocktail 500gr,44000,Ara Frozen,Jakarta Timur,1,5.0,Kanzler,Sausage
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (250 gr),29800,Hijrahfood Meatshop,Jakarta Barat,2000,5.0,Kanzler,Sausage
kanzler crispy chicken nugget 450gr,39000,Ara Frozen,Jakarta Timur,30,5.0,Kanzler,Nugget
Kanzler Smoked Beef / Daging Sapi Asap Kanzler 250gr,37900,Bliss Kitchen Tangerang,Tangerang,100,4.9,Kanzler,Other
kanzler cordon bleu 300gr isi 2 pcs,46500,Bright Frozen Food,Jakarta Pusat,250,5.0,Kanzler,Other
kanzler crispy nugget 450gr,39900,King Fresh Mart,Jakarta Barat,250,5.0,Kanzler,Nugget
kanzler crispy chicken nugget krispi 450gr,39000,tokoflashsalemodernland,Tangerang,750,5.0,Kanzler,Nugget
kanzler chiken naget crispy bubble 450gr,41500,TOKO YENTI,Bekasi,2000,5.0,Kanzler,Other
KANZLER CRISPY CHICKEN NUGGET 500GR,41500,Toko Sosis Menceng,Jakarta Barat,2000,5.0,Kanzler,Nugget
Crispy Chicken Nugget Stick Kanzler Nugget Stick 450 Gram,39000,Gadsa Online Shop,Tangerang Selatan,50,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick 450 Gram / Kazler / Halal,40000,Ohayo Bento New,Jakarta Timur,50,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget STICK,41900,Aishakira online,Jakarta Timur,100,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget / Naget Ayam Berbumbu Krispi (450 gr),39500,Hijrahfood Meatshop Depok,Depok,250,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick Ayam 450 Gram,39500,KitaKito Foods,Tangerang Selatan,100,5.0,Kanzler,Nugget
Smoked Beef Kanzler 1kg,117490,Toko Kuliner Jakpus,Jakarta Pusat,250,5.0,Kanzler,Other
KANZLER Crispy Chicken Nugget 450 g,39500,Hamina Froz,Bekasi,27,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN STICK NUGGET 450G,53900,LOTTE Mart Bintaro,Tangerang Selatan,30,5.0,Kanzler,Nugget
CHICKEN NUGGET PREMIUM KANZLER 450GR NAGET AYAM HALAL,38500,LatteBless,Jakarta Selatan,3000,4.9,Kanzler,Nugget
KANZLER Crispy Chicken Nugget,39480,RIESA Mart,Tangerang Selatan,2000,5.0,Kanzler,Nugget
KANZLER NUGGET ORIGINAL 450G,44900,LOTTE Mart Official,Jakarta Selatan,250,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Ayam 120 Gram,12900,KitaKito Foods,Tangerang Selatan,100,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET ORIGINAL 450GR,39999,Lancar FreshMart,Jakarta Utara,750,5.0,Kanzler,Nugget
KANZLER CRISPY CHICKEN STICK NUGGET 450g,39700,Madina Frost,Kab. Tangerang,100,5.0,Kanzler,Nugget
kanzler chicken cordon bleu 300gr,42500,AZEINN,Jakarta Selatan,250,5.0,Kanzler,Other
Kanzler Crispy Chicken Nugget 450 gram Sayurbox,58500,Sayurbox,Jakarta Selatan,100,4.9,Kanzler,Nugget
kanzler nugget crispy 450gr,38500,warungmuh151,Jakarta Barat,50,5.0,Kanzler,Nugget
kanzler crispy chicken nugget,38500,micha_slicebeef,Kab. Bogor,100,5.0,Kanzler,Nugget
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui,42900,Multi food jakarta,Jakarta Utara,750,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,38500,Toko DFF,Jakarta Selatan,2000,5.0,Kanzler,Nugget
kanzler chicken nugget ayam 450gr,41500,Bright Frozen Food,Jakarta Pusat,3000,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget Stick 450gr,39000,Kebab Mini Frozen Food,Jakarta Timur,70,4.9,Kanzler,Nugget
CRISPY CHICKEN NUGGET KANZLER 450gr NAGET AYAM KRISPI HALAL,38500,NdoroStore,Kab. Bogor,70,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 Gr,45000,Torang Mart,Kab. Bogor,26,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,38000,Kasyfil Market Jakarta,Jakarta Selatan,250,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450gr,37400,Foodia Mart,Jakarta Timur,30,5.0,Kanzler,Nugget
PROMO KANZLER NUGGET CHICKEN CRISPY 450 GR,41999,tsaqib tako,Kab. Bekasi,250,5.0,Kanzler,Nugget
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 1PCS ,47900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler,Sausage
Kanzler Smoked beef 250 gr,35535,SAJI Frozen&Snack,Jakarta Barat,100,5.0,Kanzler,Other
 Kanzler Frankfurter Cocktail 500 gr,44032,SAJI Frozen&Snack,Jakarta Barat,60,5.0,Kanzler,Other
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy,41000,DELI FROZZ,Jakarta Utara,17,5.0,Kanzler,Nugget
Frankfurter Cocktail Sosis Ayam (500 gram) - Kanzler,54000,Belanja Segar,Jakarta Utara,90,4.9,Kanzler,Sausage
